,0,1,2,3,4,5
NATVENT_WD,0.00 0.00,7.50 1.00,7.75 0.00,17.25 1.00,17.50 0.00,24.00 0.00
NATVENT_WE,0.00 0.00,7.50 1.00,7.75 0.00,17.25 1.00,17.50 0.00,24.00 0.00
