Name;bui;WeatherFile;IntGain;Tset;WindowRatio;IntWall_L;IntWall_H;ExtWall;Floor;Ceiling;Laibung;WindowID;ActiveLayer;THB
TRNPY_TEMPLATE_33;MH;MUC_2050.epw;3.1;19.5;0.128;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_34;MH;MUC_2050.epw;8.2;19.0;0.223;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_35;MH;MUC_2050.epw;8.6;21.0;0.212;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_36;MH;MUC_2050.epw;4.0;23.5;0.168;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_37;MH;MUC_2050.epw;0.5;23.5;0.209;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_38;MH;MUC_2050.epw;2.2;22.0;0.215;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_39;MH;MUC_2050.epw;1.6;20.5;0.166;MH_IW_L;MH_IW_H;MH_AW;BO;DA;0.3;3307;0;0.024
TRNPY_TEMPLATE_40;MW;MUC_2020.epw;9.0;19.5;0.165;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_41;MW;MUC_2020.epw;3.9;19.0;0.231;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_42;MW;MUC_2020.epw;3.7;12.0;0.181;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_43;MW;MUC_2020.epw;3.1;19.5;0.128;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_44;MW;MUC_2020.epw;8.2;19.0;0.223;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_45;MW;MUC_2020.epw;8.6;21.0;0.212;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_46;MW;MUC_2020.epw;4.0;23.5;0.168;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_47;MW;MUC_2020.epw;0.5;23.5;0.209;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_48;MW;MUC_2020.epw;2.2;22.0;0.215;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_49;MW;MUC_2020.epw;1.6;20.5;0.166;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_50;MW;MUC_2050.epw;9.0;19.5;0.165;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
